real,imag,np,sw,time
-0.133741872,-0.272386468,4096.0,10000.0,1131.2761904761905
0.468400362,0.0503859523,4096.0,10000.0,1132.2764346764347
0.0028101364,0.625012343,4096.0,10000.0,1133.276678876679
-0.530393763,0.0946762016,4096.0,10000.0,1134.2769230769231
0.0202000947,-0.320611678,4096.0,10000.0,1135.2771672771673
0.260971669,0.276462098,4096.0,10000.0,1136.2774114774115
-0.413670369,0.362580754,4096.0,10000.0,1137.2776556776557
-0.395955529,-0.357084193,4096.0,10000.0,1138.2778998779
0.296518172,-0.243120412,4096.0,10000.0,1139.2781440781441
0.0529301064,0.38304991,4096.0,10000.0,1140.2783882783883
-0.516163862,-1.48929636e-05,4096.0,10000.0,1141.2786324786325
-0.0339192617,-0.515106668,4096.0,10000.0,1142.2788766788767
0.388262476,0.021373542,4096.0,10000.0,1143.279120879121
-0.197378596,0.304263281,4096.0,10000.0,1144.279365079365
-0.33663151,-0.344441488,4096.0,10000.0,1145.2796092796095
0.357635133,-0.369931804,4096.0,10000.0,1146.2798534798537
0.284216716,0.316301212,4096.0,10000.0,1147.2800976800977
-0.348792201,0.126095283,4096.0,10000.0,1148.280341880342
-0.0259301784,-0.444689995,4096.0,10000.0,1149.280586080586
0.485893279,-0.00761106192,4096.0,10000.0,1150.2808302808303
-0.0276404823,0.426557472,4096.0,10000.0,1151.2810744810747
-0.349364624,-0.141592091,4096.0,10000.0,1152.281318681319
0.271027629,-0.333098319,4096.0,10000.0,1153.2815628815629
0.341768073,0.328151613,4096.0,10000.0,1154.281807081807
-0.325040556,0.290359848,4096.0,10000.0,1155.2820512820513
-0.173605381,-0.342624722,4096.0,10000.0,1156.2822954822955
0.405857761,-0.0676331304,4096.0,10000.0,1157.28253968254
0.0162229341,0.452935103,4096.0,10000.0,1158.282783882784
-0.432000072,-0.0240818746,4096.0,10000.0,1159.2830280830283
0.108352704,-0.37395525,4096.0,10000.0,1160.2832722832723
0.33995139,0.218787535,4096.0,10000.0,1161.2835164835165
-0.293348896,0.331082227,4096.0,10000.0,1162.2837606837609
-0.293483795,-0.316112858,4096.0,10000.0,1163.284004884005
0.333942541,-0.20337255,4096.0,10000.0,1164.2842490842493
0.102726229,0.381064245,4096.0,10000.0,1165.2844932844935
-0.427526133,0.0369336943,4096.0,10000.0,1166.2847374847377
0.00889707263,-0.425604678,4096.0,10000.0,1167.2849816849816
0.381371018,0.0812736615,4096.0,10000.0,1168.285225885226
-0.182990664,0.344421755,4096.0,10000.0,1169.2854700854703
-0.332571766,-0.264805286,4096.0,10000.0,1170.2857142857144
0.296709898,-0.305144543,4096.0,10000.0,1171.2859584859586
0.226067285,0.311849322,4096.0,10000.0,1172.2862026862028
-0.355329562,0.122950273,4096.0,10000.0,1173.286446886447
-0.0512354063,-0.412570213,4096.0,10000.0,1174.2866910866912
0.426584008,-0.0135250866,4096.0,10000.0,1175.2869352869354
-0.0440043669,0.383018266,4096.0,10000.0,1176.2871794871796
-0.335570005,-0.147225786,4096.0,10000.0,1177.2874236874238
0.246754912,-0.32734632,4096.0,10000.0,1178.287667887668
0.322548163,0.28540933,4096.0,10000.0,1179.2879120879122
-0.285119051,0.257214056,4096.0,10000.0,1180.2881562881564
-0.140866923,-0.317790117,4096.0,10000.0,1181.2884004884006
0.393840337,-0.0531619249,4096.0,10000.0,1182.2886446886448
0.028877052,0.436366447,4096.0,10000.0,1183.288888888889
-0.392011966,0.00114551282,4096.0,10000.0,1184.2891330891332
0.100034337,-0.318180208,4096.0,10000.0,1185.2893772893774
0.304986599,0.232593958,4096.0,10000.0,1186.2896214896216
-0.29202633,0.336549616,4096.0,10000.0,1187.2898656898658
-0.305073548,-0.26656566,4096.0,10000.0,1188.29010989011
0.263793814,-0.173233837,4096.0,10000.0,1189.2903540903542
0.0441556896,0.351688392,4096.0,10000.0,1190.2905982905984
-0.44524395,0.0175210625,4096.0,10000.0,1191.2908424908426
-0.0361024859,-0.423313538,4096.0,10000.0,1192.2910866910868
0.315363403,0.0353868109,4096.0,10000.0,1193.291330891331
-0.199644244,0.2695647,4096.0,10000.0,1194.2915750915752
-0.329694243,-0.304790441,4096.0,10000.0,1195.2918192918194
0.266288588,-0.35472085,4096.0,10000.0,1196.2920634920636
0.224152089,0.206852914,4096.0,10000.0,1197.2923076923078
-0.283824207,0.0344433875,4096.0,10000.0,1198.292551892552
0.024850375,-0.443743054,4096.0,10000.0,1199.2927960927962
0.482909915,-0.0471383055,4096.0,10000.0,1200.2930402930403
0.0493177109,0.348089652,4096.0,10000.0,1201.2932844932845
-0.228504335,-0.121842437,4096.0,10000.0,1202.2935286935287
0.302303633,-0.278046567,4096.0,10000.0,1203.293772893773
0.372938618,0.296748612,4096.0,10000.0,1204.2940170940171
-0.183103669,0.288449823,4096.0,10000.0,1205.2942612942616
-0.0516531717,-0.211224429,4096.0,10000.0,1206.2945054945055
0.419573558,0.0708977728,4096.0,10000.0,1207.2947496947497
